layer_idx,mean_norm,std_norm,k_value,sample_count,model
0,3.434922221302986,0.21491322288207376,0.048004497401612826,80,phi-4-14b-instruct
1,21.948801070451736,9.558617021541309,0.3067438201134389,80,phi-4-14b-instruct
2,43.641979444026944,19.671255144089628,0.6099152044343294,80,phi-4-14b-instruct
3,54.09402290582657,24.04800640936129,0.7559869524616182,80,phi-4-14b-instruct
4,62.046890783309934,26.916656487356942,0.8671316598999136,80,phi-4-14b-instruct
5,64.45090429782867,26.978640486714667,0.9007287701329891,80,phi-4-14b-instruct
6,67.65039563179016,27.35107096329745,0.9454430208589851,80,phi-4-14b-instruct
7,70.61542015075683,27.531872585661432,0.9868804982300045,80,phi-4-14b-instruct
8,73.10224585533142,27.526907987288133,1.0216349440026455,80,phi-4-14b-instruct
9,75.85512156486512,27.55949282105262,1.0601075516284288,80,phi-4-14b-instruct
10,78.89782800674439,27.614397971949554,1.1026306668760448,80,phi-4-14b-instruct
11,82.18981261253357,27.593708822191076,1.1486375503724666,80,phi-4-14b-instruct
12,84.58817949295045,27.544262492133647,1.182155746494943,80,phi-4-14b-instruct
13,88.24075708389282,27.493009823837752,1.2332020701601902,80,phi-4-14b-instruct
14,91.18373675346375,27.487668815993953,1.2743314613949432,80,phi-4-14b-instruct
15,95.1419207572937,27.495608727282935,1.3296487645200437,80,phi-4-14b-instruct
16,99.87885556221008,27.57512937992029,1.3958494409499043,80,phi-4-14b-instruct
17,104.56428027153015,27.561518013802186,1.4613302419092598,80,phi-4-14b-instruct
18,109.7744487285614,27.513034367197093,1.5341445596851788,80,phi-4-14b-instruct
19,114.66678657531739,27.438239699915208,1.6025170596491873,80,phi-4-14b-instruct
20,121.73513078689575,27.33634118617056,1.7013001730582897,80,phi-4-14b-instruct
21,129.87202501296997,27.32763009021045,1.8150167269034616,80,phi-4-14b-instruct
22,138.04000301361083,26.91826261743839,1.9291676897044352,80,phi-4-14b-instruct
23,148.50618801116943,27.008130036380624,2.0754370717021193,80,phi-4-14b-instruct
24,158.52513904571532,26.55984947069353,2.2154561690551597,80,phi-4-14b-instruct
25,171.0637345314026,26.83543335056857,2.3906883681074644,80,phi-4-14b-instruct
26,185.61075439453126,27.501302437225096,2.5939891511324356,80,phi-4-14b-instruct
27,199.97762870788574,28.174615499034957,2.7947723235627873,80,phi-4-14b-instruct
28,215.5169122695923,29.26982435672065,3.0119404133479177,80,phi-4-14b-instruct
29,233.12798748016357,31.084458010153526,3.258062671646035,80,phi-4-14b-instruct
30,251.0414655685425,33.106706210627415,3.508411138640212,80,phi-4-14b-instruct
31,268.3195875167847,35.02638033613576,3.7498802336389656,80,phi-4-14b-instruct
32,284.85480937957766,37.003037039648845,3.980966984315502,80,phi-4-14b-instruct
33,299.7234411239624,38.64295577994919,4.188762430020849,80,phi-4-14b-instruct
34,305.21246280670164,39.58341782505428,4.265473840099444,80,phi-4-14b-instruct
35,307.1733213424683,42.166880673455445,4.292877671225913,80,phi-4-14b-instruct
36,322.7589447021484,44.74509411741166,4.510693379375621,80,phi-4-14b-instruct
37,345.2886270523071,48.66136690123378,4.825555262165822,80,phi-4-14b-instruct
38,503.49865646362304,87.8926566743282,7.036607640202968,80,phi-4-14b-instruct
39,522.4947452545166,86.04698084047412,7.302086051722092,80,phi-4-14b-instruct
